set,bin,k,Q2,xB,t,phi,dsig,dsig_err,delsig,delsig_err,exp d4sig (nb/Gev^4),d4sig_stat,d4sig_sys+,d4sig_sys-,exp del4sig (nb/GeV^4),del4sig_stat,del4sig_sys+,del4sig_sys-,ReH,ReHt,ReE,ReEt,ImH,ImHt,ImE,ImEt,DVCS,experiment,link
4,9,5.55,1.74,0.359,-0.183,142.5,0.050780879,0.002893347,0.00038008,0.002901042,0.0505,0.0024,0.001616,0.001616,-0.00243,0.0029,-0.00007776,-0.00007776,-2.51484,1.34742,2.18225,126.28265,3.20275,1.49975,0,0,0.03471983,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
4,10,5.55,1.74,0.359,-0.183,157.5,0.048230429,0.002805445,-0.00022825,0.002900092,0.0502,0.0023,0.0016064,0.0016064,0.000722,0.0029,0.000023104,0.000023104,-2.51484,1.34742,2.18225,126.28265,3.20275,1.49975,0,0,0.03471983,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
4,11,5.55,1.74,0.359,-0.183,172.5,0.049663388,0.00289872,-0.006058869,0.002800702,0.0508,0.0024,0.0016256,0.0016256,-0.00196,0.0028,-0.00006272,-0.00006272,-2.51484,1.34742,2.18225,126.28265,3.20275,1.49975,0,0,0.03471983,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
4,12,5.55,1.74,0.359,-0.183,187.5,0.053568594,0.002933248,0.000963062,0.002900007,0.0527,0.0024,0.0016864,0.0016864,0.000206,0.0029,0.000006592,0.000006592,-2.51484,1.34742,2.18225,126.28265,3.20275,1.49975,0,0,0.03471983,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
4,13,5.55,1.74,0.359,-0.183,202.5,0.051214859,0.002905917,-0.004770995,0.002902952,0.0512,0.0024,0.0016384,0.0016384,-0.00409,0.0029,-0.00013088,-0.00013088,-2.51484,1.34742,2.18225,126.28265,3.20275,1.49975,0,0,0.03471983,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
4,14,5.55,1.74,0.359,-0.183,217.5,0.046794696,0.002900515,-0.002582061,0.003000297,0.0509,0.0024,0.0016288,0.0016288,-0.00132,0.003,-0.00004224,-0.00004224,-2.51484,1.34742,2.18225,126.28265,3.20275,1.49975,0,0,0.03471983,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
4,15,5.55,1.74,0.359,-0.183,232.5,0.056038765,0.003096556,-0.008071182,0.003105138,0.0571,0.0025,0.0018272,0.0018272,-0.00558,0.0031,-0.00017856,-0.00017856,-2.51484,1.34742,2.18225,126.28265,3.20275,1.49975,0,0,0.03471983,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
4,16,5.55,1.74,0.359,-0.183,247.5,0.05947871,0.003232089,-0.001806416,0.003201537,0.06,0.0026,0.00192,0.00192,-0.0031,0.0032,-0.0000992,-0.0000992,-2.51484,1.34742,2.18225,126.28265,3.20275,1.49975,0,0,0.03471983,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
4,17,5.55,1.74,0.359,-0.183,262.5,0.072673115,0.003431854,-0.00408586,0.003403297,0.0662,0.0027,0.0021184,0.0021184,-0.00468,0.0034,-0.00014976,-0.00014976,-2.51484,1.34742,2.18225,126.28265,3.20275,1.49975,0,0,0.03471983,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
4,18,5.55,1.74,0.359,-0.183,277.5,0.073054438,0.003705829,-0.011069237,0.003616551,0.0721,0.0029,0.0023072,0.0023072,-0.0108,0.0036,-0.0003456,-0.0003456,-2.51484,1.34742,2.18225,126.28265,3.20275,1.49975,0,0,0.03471983,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
4,19,5.55,1.74,0.359,-0.183,292.5,0.069839286,0.003888277,-0.018601968,0.003845837,0.0773,0.003,0.0024736,0.0024736,-0.0185,0.0038,-0.000592,-0.000592,-2.51484,1.34742,2.18225,126.28265,3.20275,1.49975,0,0,0.03471983,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
4,20,5.55,1.74,0.359,-0.183,307.5,0.076132484,0.003859931,-6.30E-05,0.003912333,0.0759,0.003,0.0024288,0.0024288,-0.0097,0.0039,-0.0003104,-0.0003104,-2.51484,1.34742,2.18225,126.28265,3.20275,1.49975,0,0,0.03471983,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
4,21,5.55,1.74,0.359,-0.183,322.5,0.087791893,0.004200995,-0.007101039,0.004108677,0.0886,0.0031,0.0028352,0.0028352,-0.00834,0.0041,-0.00026688,-0.00026688,-2.51484,1.34742,2.18225,126.28265,3.20275,1.49975,0,0,0.03471983,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
4,22,5.55,1.74,0.359,-0.183,337.5,0.087852037,0.004262611,-0.009140997,0.004202181,0.088,0.0032,0.002816,0.002816,-0.00423,0.0042,-0.00013536,-0.00013536,-2.51484,1.34742,2.18225,126.28265,3.20275,1.49975,0,0,0.03471983,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
4,23,5.55,1.74,0.359,-0.183,352.5,0.099922693,0.004482491,0.007534967,0.004302201,0.0948,0.0033,0.0030336,0.0030336,0.0043,0.0043,0.0001376,0.0001376,-2.51484,1.34742,2.18225,126.28265,3.20275,1.49975,0,0,0.03471983,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
5,0,5.55,1.74,0.359,-0.242,7.5,0.104725287,0.004835819,-0.000101937,0.004301728,0.1009,0.0036,0.0032288,0.0032288,0.00381,0.0043,0.00012192,0.00012192,-2.51203,1.15318,2.03268,97.09222,2.88842,1.4213,0,0,0.030511348,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
5,1,5.55,1.74,0.359,-0.242,22.5,0.093787586,0.004482187,0.004693055,0.004213675,0.0875,0.0035,0.0028,0.0028,0.0106,0.0042,0.0003392,0.0003392,-2.51203,1.15318,2.03268,97.09222,2.88842,1.4213,0,0,0.030511348,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
5,2,5.55,1.74,0.359,-0.242,37.5,0.090489619,0.004412691,0.022615055,0.004024302,0.0879,0.0034,0.0028128,0.0028128,0.0138,0.004,0.0004416,0.0004416,-2.51203,1.15318,2.03268,97.09222,2.88842,1.4213,0,0,0.030511348,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
5,3,5.55,1.74,0.359,-0.242,52.5,0.076136819,0.004102001,0.009593999,0.003718894,0.0802,0.0032,0.0025664,0.0025664,0.0117,0.0037,0.0003744,0.0003744,-2.51203,1.15318,2.03268,97.09222,2.88842,1.4213,0,0,0.030511348,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
5,4,5.55,1.74,0.359,-0.242,67.5,0.064954895,0.003561364,0.012971877,0.003432386,0.0646,0.0029,0.0020672,0.0020672,0.0147,0.0034,0.0004704,0.0004704,-2.51203,1.15318,2.03268,97.09222,2.88842,1.4213,0,0,0.030511348,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
5,5,5.55,1.74,0.359,-0.242,82.5,0.053568856,0.003373488,0.006999905,0.003207347,0.0588,0.0028,0.0018816,0.0018816,0.00678,0.0032,0.00021696,0.00021696,-2.51203,1.15318,2.03268,97.09222,2.88842,1.4213,0,0,0.030511348,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
5,6,5.55,1.74,0.359,-0.242,97.5,0.051183623,0.003216008,0.008705054,0.003009031,0.0546,0.0027,0.0017472,0.0017472,0.00728,0.003,0.00023296,0.00023296,-2.51203,1.15318,2.03268,97.09222,2.88842,1.4213,0,0,0.030511348,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
5,7,5.55,1.74,0.359,-0.242,112.5,0.048296256,0.00315822,0.009331189,0.002904116,0.0512,0.0027,0.0016384,0.0016384,0.00483,0.0029,0.00015456,0.00015456,-2.51203,1.15318,2.03268,97.09222,2.88842,1.4213,0,0,0.030511348,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
5,8,5.55,1.74,0.359,-0.242,127.5,0.044746112,0.003005271,0.003976826,0.002804351,0.0471,0.0026,0.0015072,0.0015072,0.00488,0.0028,0.00015616,0.00015616,-2.51203,1.15318,2.03268,97.09222,2.88842,1.4213,0,0,0.030511348,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
5,9,5.55,1.74,0.359,-0.242,142.5,0.043499274,0.002826337,0.002269355,0.00270594,0.0412,0.0025,0.0013184,0.0013184,0.0056,0.0027,0.0001792,0.0001792,-2.51203,1.15318,2.03268,97.09222,2.88842,1.4213,0,0,0.030511348,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
5,10,5.55,1.74,0.359,-0.242,157.5,0.041762754,0.002913718,0.011052995,0.002809942,0.0411,0.0026,0.0013152,0.0013152,0.00738,0.0028,0.00023616,0.00023616,-2.51203,1.15318,2.03268,97.09222,2.88842,1.4213,0,0,0.030511348,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
5,11,5.55,1.74,0.359,-0.242,172.5,0.038616937,0.003037707,0.001216991,0.00280009,0.0435,0.0027,0.001392,0.001392,0.0007,0.0028,0.0000224,0.0000224,-2.51203,1.15318,2.03268,97.09222,2.88842,1.4213,0,0,0.030511348,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
5,12,5.55,1.74,0.359,-0.242,187.5,0.04559446,0.003056993,0.004708108,0.002901051,0.0448,0.0027,0.0014336,0.0014336,0.00244,0.0029,0.00007808,0.00007808,-2.51203,1.15318,2.03268,97.09222,2.88842,1.4213,0,0,0.030511348,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
5,13,5.55,1.74,0.359,-0.242,202.5,0.039546127,0.00303478,-0.008113592,0.002903232,0.0433,0.0027,0.0013856,0.0013856,-0.00428,0.0029,-0.00013696,-0.00013696,-2.51203,1.15318,2.03268,97.09222,2.88842,1.4213,0,0,0.030511348,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
5,14,5.55,1.74,0.359,-0.242,217.5,0.04780667,0.003078257,-0.003847254,0.002804002,0.0462,0.0027,0.0014784,0.0014784,-0.00468,0.0028,-0.00014976,-0.00014976,-2.51203,1.15318,2.03268,97.09222,2.88842,1.4213,0,0,0.030511348,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
5,15,5.55,1.74,0.359,-0.242,232.5,0.050886574,0.003140104,-0.004887772,0.002806272,0.0501,0.0027,0.0016032,0.0016032,-0.00586,0.0028,-0.00018752,-0.00018752,-2.51203,1.15318,2.03268,97.09222,2.88842,1.4213,0,0,0.030511348,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
5,16,5.55,1.74,0.359,-0.242,247.5,0.053104722,0.003228232,-0.003215844,0.00290267,0.0553,0.0027,0.0017696,0.0017696,-0.00389,0.0029,-0.00012448,-0.00012448,-2.51203,1.15318,2.03268,97.09222,2.88842,1.4213,0,0,0.030511348,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
5,17,5.55,1.74,0.359,-0.242,262.5,0.057275793,0.003329529,-0.006786952,0.003103447,0.0563,0.0028,0.0018016,0.0018016,-0.00457,0.0031,-0.00014624,-0.00014624,-2.51203,1.15318,2.03268,97.09222,2.88842,1.4213,0,0,0.030511348,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
5,18,5.55,1.74,0.359,-0.242,277.5,0.068762567,0.003517342,-0.004633528,0.003305959,0.0622,0.0029,0.0019904,0.0019904,-0.0062,0.0033,-0.0001984,-0.0001984,-2.51203,1.15318,2.03268,97.09222,2.88842,1.4213,0,0,0.030511348,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
5,19,5.55,1.74,0.359,-0.242,292.5,0.064563745,0.003807808,-0.0137773,0.003537716,0.0691,0.0031,0.0022112,0.0022112,-0.0161,0.0035,-0.0005152,-0.0005152,-2.51203,1.15318,2.03268,97.09222,2.88842,1.4213,0,0,0.030511348,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
5,20,5.55,1.74,0.359,-0.242,307.5,0.07688816,0.004116052,-0.009293077,0.00382033,0.0809,0.0032,0.0025888,0.0025888,-0.0123,0.0038,-0.0003936,-0.0003936,-2.51203,1.15318,2.03268,97.09222,2.88842,1.4213,0,0,0.030511348,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3
