set,k,QQ,x_b,t,phi_x,F_function,F,sigmaF,ReH,ReE,ReHt,dvcs
1.0,5.75,1.82,0.343,-0.172,172.5,0.05856643954692614,0.060570348484386846,0.0029224652778873884,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.03156614082638049
1.0,5.75,1.82,0.343,-0.172,187.5,0.05856643954692614,0.056493100870459306,0.0029101664228371087,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.03156614082638049
1.0,5.75,1.82,0.343,-0.172,202.5,0.05993305476515959,0.06167017613533356,0.002839028904535469,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.03156614082638049
1.0,5.75,1.82,0.343,-0.172,217.5,0.0627438131523292,0.06760799263418318,0.0031428376028944703,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.03156614082638049
1.0,5.75,1.82,0.343,-0.172,232.5,0.06714710147739034,0.06647046118561262,0.0032116458985634536,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.03156614082638049
1.0,5.75,1.82,0.343,-0.172,247.5,0.07334221762984164,0.07946228032944991,0.0034602858785731864,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.03156614082638049
1.0,5.75,1.82,0.343,-0.172,262.5,0.08153165192606705,0.07910298940202852,0.003721104529563734,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.03156614082638049
1.0,5.75,1.82,0.343,-0.172,277.5,0.09182283145572401,0.09491245516191504,0.00400990292532338,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.03156614082638049
1.0,5.75,1.82,0.343,-0.172,292.5,0.10405528883362208,0.10952875550615887,0.004426511871373676,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.03156614082638049
1.0,5.75,1.82,0.343,-0.172,307.5,0.11755526301669728,0.11466371619567596,0.0046681195128911055,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.03156614082638049
1.0,5.75,1.82,0.343,-0.172,322.5,0.13090358185965376,0.12630125686609442,0.005206035409049335,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.03156614082638049
1.0,5.75,1.82,0.343,-0.172,337.5,0.14193950672735395,0.13932617179173504,0.005960039994588407,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.03156614082638049
1.0,5.75,1.82,0.343,-0.172,352.5,0.14827196355727112,0.15255753804939173,0.006264490451457007,-2.5644427567173134,2.211953479092591,1.3990266420740904,0.03156614082638049
2.0,5.75,1.933,0.368,-0.232,7.5,0.10611069342841739,0.09258360728212225,0.006954494931796337,-2.4836497769501915,2.056924614150798,1.1811098874128851,0.022706582515983773
2.0,5.75,1.933,0.368,-0.232,22.5,0.09977298569807747,0.1009999656719191,0.0064573073696221,-2.4836497769501915,2.056924614150798,1.1811098874128851,0.022706582515983773
2.0,5.75,1.933,0.368,-0.232,37.5,0.08931167103473663,0.07635843536818719,0.00555875847791952,-2.4836497769501915,2.056924614150798,1.1811098874128851,0.022706582515983773
2.0,5.75,1.933,0.368,-0.232,52.5,0.07759103101995402,0.07869688681589197,0.0041751734117422175,-2.4836497769501915,2.056924614150798,1.1811098874128851,0.022706582515983773
2.0,5.75,1.933,0.368,-0.232,67.5,0.06670692140286316,0.06567457911305431,0.0038943500910612796,-2.4836497769501915,2.056924614150798,1.1811098874128851,0.022706582515983773
2.0,5.75,1.933,0.368,-0.232,82.5,0.05763649476974284,0.06163501015768561,0.0036005518419387384,-2.4836497769501915,2.056924614150798,1.1811098874128851,0.022706582515983773
2.0,5.75,1.933,0.368,-0.232,97.5,0.050562108269276596,0.04991632062982278,0.003177322873274088,-2.4836497769501915,2.056924614150798,1.1811098874128851,0.022706582515983773
2.0,5.75,1.933,0.368,-0.232,112.5,0.04528537421833121,0.04965289885012092,0.002882867069684428,-2.4836497769501915,2.056924614150798,1.1811098874128851,0.022706582515983773
2.0,5.75,1.933,0.368,-0.232,127.5,0.041498388930139705,0.038021241609449544,0.0026363925683926016,-2.4836497769501915,2.056924614150798,1.1811098874128851,0.022706582515983773
2.0,5.75,1.933,0.368,-0.232,142.5,0.03891349113441982,0.03902501740377732,0.0023418139338585125,-2.4836497769501915,2.056924614150798,1.1811098874128851,0.022706582515983773
2.0,5.75,1.933,0.368,-0.232,157.5,0.03730993628283005,0.03509287204849517,0.0021997937757197105,-2.4836497769501915,2.056924614150798,1.1811098874128851,0.022706582515983773
2.0,5.75,1.933,0.368,-0.232,172.5,0.03654340270188898,0.039157376673440505,0.0022854244841739083,-2.4836497769501915,2.056924614150798,1.1811098874128851,0.022706582515983773
2.0,5.75,1.933,0.368,-0.232,187.5,0.03654340270188898,0.040069758718217094,0.0022273203887991106,-2.4836497769501915,2.056924614150798,1.1811098874128851,0.022706582515983773
2.0,5.75,1.933,0.368,-0.232,202.5,0.03730993628283005,0.033190282105003466,0.0021318897653387226,-2.4836497769501915,2.056924614150798,1.1811098874128851,0.022706582515983773
2.0,5.75,1.933,0.368,-0.232,217.5,0.03891349113441982,0.039458918483549064,0.0023838404618846004,-2.4836497769501915,2.056924614150798,1.1811098874128851,0.022706582515983773
2.0,5.75,1.933,0.368,-0.232,232.5,0.041498388930139705,0.046295106529102084,0.0026596316885538905,-2.4836497769501915,2.056924614150798,1.1811098874128851,0.022706582515983773
2.0,5.75,1.933,0.368,-0.232,247.5,0.04528537421833122,0.048305255979491285,0.0028828670696844283,-2.4836497769501915,2.056924614150798,1.1811098874128851,0.022706582515983773
2.0,5.75,1.933,0.368,-0.232,262.5,0.050562108269276596,0.046520372853535025,0.0031540643618161593,-2.4836497769501915,2.056924614150798,1.1811098874128851,0.022706582515983773
2.0,5.75,1.933,0.368,-0.232,277.5,0.05763649476974284,0.05232771393388959,0.0037083322368730116,-2.4836497769501915,2.056924614150798,1.1811098874128851,0.022706582515983773
2.0,5.75,1.933,0.368,-0.232,292.5,0.06670692140286322,0.0680893763308404,0.003941711962077496,-2.4836497769501915,2.056924614150798,1.1811098874128851,0.022706582515983773
2.0,5.75,1.933,0.368,-0.232,307.5,0.07759103101995402,0.07417415875528205,0.0043963078358122505,-2.4836497769501915,2.056924614150798,1.1811098874128851,0.022706582515983773
2.0,5.75,1.933,0.368,-0.232,322.5,0.08931167103473663,0.09125211510786202,0.005531964855768137,-2.4836497769501915,2.056924614150798,1.1811098874128851,0.022706582515983773
2.0,5.75,1.933,0.368,-0.232,337.5,0.09977298569807747,0.0978318895371748,0.006206877545181304,-2.4836497769501915,2.056924614150798,1.1811098874128851,0.022706582515983773
2.0,5.75,1.933,0.368,-0.232,352.5,0.10611069342841739,0.102735906732773,0.006962983456615807,-2.4836497769501915,2.056924614150798,1.1811098874128851,0.022706582515983773
3.0,5.75,1.964,0.375,-0.278,7.5,0.09594357866464506,0.0999236268374778,0.008573518065034142,-2.4430245398913644,1.9488463491565218,1.0480057186071767,0.019687567784511077
3.0,5.75,1.964,0.375,-0.278,22.5,0.08833472313221255,0.07972645857945165,0.007989875379815686,-2.4430245398913644,1.9488463491565218,1.0480057186071767,0.019687567784511077
3.0,5.75,1.964,0.375,-0.278,37.5,0.07648705187849861,0.0797871928039335,0.0060241200593336396,-2.4430245398913644,1.9488463491565218,1.0480057186071767,0.019687567784511077
3.0,5.75,1.964,0.375,-0.278,52.5,0.0642094359430339,0.06317664379110646,0.004892117069779529,-2.4430245398913644,1.9488463491565218,1.0480057186071767,0.019687567784511077
3.0,5.75,1.964,0.375,-0.278,67.5,0.05370255253775359,0.05692209622031413,0.004511014352353792,-2.4430245398913644,1.9488463491565218,1.0480057186071767,0.019687567784511077
3.0,5.75,1.964,0.375,-0.278,82.5,0.04558245588005021,0.04476673297185147,0.0037879020167957906,-2.4430245398913644,1.9488463491565218,1.0480057186071767,0.019687567784511077
3.0,5.75,1.964,0.375,-0.278,97.5,0.03964640036544834,0.038563299309992194,0.0029734801455641056,-2.4430245398913644,1.9488463491565218,1.0480057186071767,0.019687567784511077
3.0,5.75,1.964,0.375,-0.278,112.5,0.03544764527057917,0.04182610655284434,0.002706782269430903,-2.4430245398913644,1.9488463491565218,1.0480057186071767,0.019687567784511077
3.0,5.75,1.964,0.375,-0.278,127.5,0.032557749793208496,0.03373592386338047,0.002400157337033339,-2.4430245398913644,1.9488463491565218,1.0480057186071767,0.019687567784511077
3.0,5.75,1.964,0.375,-0.278,142.5,0.03064620654150016,0.031357056336553654,0.002232882685771662,-2.4430245398913644,1.9488463491565218,1.0480057186071767,0.019687567784511077
3.0,5.75,1.964,0.375,-0.278,157.5,0.02948598120936227,0.029953529104760436,0.0022872275270493024,-2.4430245398913644,1.9488463491565218,1.0480057186071767,0.019687567784511077
3.0,5.75,1.964,0.375,-0.278,172.5,0.028938452526467855,0.03177967213943275,0.00220279490813535,-2.4430245398913644,1.9488463491565218,1.0480057186071767,0.019687567784511077
3.0,5.75,1.964,0.375,-0.278,187.5,0.028938452526467855,0.02817708545869455,0.0022192900190534655,-2.4430245398913644,1.9488463491565218,1.0480057186071767,0.019687567784511077
3.0,5.75,1.964,0.375,-0.278,202.5,0.02948598120936227,0.029120536091624183,0.0022919453199661296,-2.4430245398913644,1.9488463491565218,1.0480057186071767,0.019687567784511077
3.0,5.75,1.964,0.375,-0.278,217.5,0.03064620654150016,0.034552504756052066,0.0023309503801134117,-2.4430245398913644,1.9488463491565218,1.0480057186071767,0.019687567784511077
3.0,5.75,1.964,0.375,-0.278,232.5,0.032557749793208496,0.03177776169417269,0.0026137361039524657,-2.4430245398913644,1.9488463491565218,1.0480057186071767,0.019687567784511077
3.0,5.75,1.964,0.375,-0.278,247.5,0.03544764527057918,0.03753963987948749,0.002508984388284225,-2.4430245398913644,1.9488463491565218,1.0480057186071767,0.019687567784511077
3.0,5.75,1.964,0.375,-0.278,262.5,0.03964640036544835,0.0411498241673075,0.0028949800074160475,-2.4430245398913644,1.9488463491565218,1.0480057186071767,0.019687567784511077
3.0,5.75,1.964,0.375,-0.278,277.5,0.04558245588005021,0.0458416297399801,0.00326552712772703,-2.4430245398913644,1.9488463491565218,1.0480057186071767,0.019687567784511077
3.0,5.75,1.964,0.375,-0.278,292.5,0.05370255253775359,0.05523068885820046,0.0040846159893044185,-2.4430245398913644,1.9488463491565218,1.0480057186071767,0.019687567784511077
3.0,5.75,1.964,0.375,-0.278,307.5,0.0642094359430339,0.05786441831360992,0.005104007968044597,-2.4430245398913644,1.9488463491565218,1.0480057186071767,0.019687567784511077
3.0,5.75,1.964,0.375,-0.278,322.5,0.07648705187849861,0.07791727932890027,0.006692616925394039,-2.4430245398913644,1.9488463491565218,1.0480057186071767,0.019687567784511077
3.0,5.75,1.964,0.375,-0.278,337.5,0.08833472313221255,0.09321188969058246,0.007910374757656774,-2.4430245398913644,1.9488463491565218,1.0480057186071767,0.019687567784511077
3.0,5.75,1.964,0.375,-0.278,352.5,0.09594357866464506,0.10054415943768659,0.01005296850142015,-2.4430245398913644,1.9488463491565218,1.0480057186071767,0.019687567784511077
4.0,5.75,1.986,0.379,-0.323,7.5,0.0891212783795812,0.09807885543396641,0.012439547721324086,-2.4028097928468544,1.8511546259809089,0.9344310568847206,0.017489359851571285
4.0,5.75,1.986,0.379,-0.323,22.5,0.08017612047088078,0.07666573500968323,0.009455971743721907,-2.4028097928468544,1.8511546259809089,0.9344310568847206,0.017489359851571285
4.0,5.75,1.986,0.379,-0.323,37.5,0.06707948913534022,0.05448802746223795,0.0082514480978372,-2.4028097928468544,1.8511546259809089,0.9344310568847206,0.017489359851571285
4.0,5.75,1.986,0.379,-0.323,52.5,0.05452427248406308,0.056827233811056796,0.005849909179735592,-2.4028097928468544,1.8511546259809089,0.9344310568847206,0.017489359851571285
4.0,5.75,1.986,0.379,-0.323,67.5,0.04457221909082978,0.03949725346656563,0.004697020389131457,-2.4028097928468544,1.8511546259809089,0.9344310568847206,0.017489359851571285
4.0,5.75,1.986,0.379,-0.323,82.5,0.03737808065995488,0.04268742137526506,0.004271940801553868,-2.4028097928468544,1.8511546259809089,0.9344310568847206,0.017489359851571285
4.0,5.75,1.986,0.379,-0.323,97.5,0.03239961411337934,0.030992832126063137,0.0034055233452935756,-2.4028097928468544,1.8511546259809089,0.9344310568847206,0.017489359851571285
4.0,5.75,1.986,0.379,-0.323,112.5,0.029027965650260994,0.02696812120062686,0.0030479362981163174,-2.4028097928468544,1.8511546259809089,0.9344310568847206,0.017489359851571285
4.0,5.75,1.986,0.379,-0.323,127.5,0.026783650374807816,0.024489002142516553,0.002520877261208274,-2.4028097928468544,1.8511546259809089,0.9344310568847206,0.017489359851571285
4.0,5.75,1.986,0.379,-0.323,142.5,0.025335357401107435,0.02666348463811793,0.002578886117988452,-2.4028097928468544,1.8511546259809089,0.9344310568847206,0.017489359851571285
4.0,5.75,1.986,0.379,-0.323,157.5,0.024471106937130536,0.02559362271772202,0.0028951765888606757,-2.4028097928468544,1.8511546259809089,0.9344310568847206,0.017489359851571285
4.0,5.75,1.986,0.379,-0.323,172.5,0.024067285370856024,0.022802362072743207,0.0033196008105229476,-2.4028097928468544,1.8511546259809089,0.9344310568847206,0.017489359851571285
4.0,5.75,1.986,0.379,-0.323,187.5,0.024067285370856024,0.020415233821806874,0.0028341635881614495,-2.4028097928468544,1.8511546259809089,0.9344310568847206,0.017489359851571285
4.0,5.75,1.986,0.379,-0.323,202.5,0.024471106937130536,0.01952933349840679,0.002740764061556935,-2.4028097928468544,1.8511546259809089,0.9344310568847206,0.017489359851571285
4.0,5.75,1.986,0.379,-0.323,217.5,0.025335357401107435,0.025812122880926307,0.0025436699036086143,-2.4028097928468544,1.8511546259809089,0.9344310568847206,0.017489359851571285
4.0,5.75,1.986,0.379,-0.323,232.5,0.026783650374807816,0.027971127394768498,0.0025958713548626246,-2.4028097928468544,1.8511546259809089,0.9344310568847206,0.017489359851571285
4.0,5.75,1.986,0.379,-0.323,247.5,0.029027965650261004,0.029294877355245316,0.00274111078445036,-2.4028097928468544,1.8511546259809089,0.9344310568847206,0.017489359851571285
4.0,5.75,1.986,0.379,-0.323,262.5,0.032399614113379355,0.028582986413880775,0.0034466709724008124,-2.4028097928468544,1.8511546259809089,0.9344310568847206,0.017489359851571285
4.0,5.75,1.986,0.379,-0.323,277.5,0.037378080659954876,0.0275392436533047,0.003715007440714032,-2.4028097928468544,1.8511546259809089,0.9344310568847206,0.017489359851571285
4.0,5.75,1.986,0.379,-0.323,292.5,0.044572219090829784,0.04407521140148158,0.004555280856969244,-2.4028097928468544,1.8511546259809089,0.9344310568847206,0.017489359851571285
4.0,5.75,1.986,0.379,-0.323,307.5,0.05452427248406308,0.05284511593005749,0.005245234836822294,-2.4028097928468544,1.8511546259809089,0.9344310568847206,0.017489359851571285
4.0,5.75,1.986,0.379,-0.323,322.5,0.06707948913534022,0.05746459436222389,0.008224616347763104,-2.4028097928468544,1.8511546259809089,0.9344310568847206,0.017489359851571285
4.0,5.75,1.986,0.379,-0.323,337.5,0.08017612047088078,0.0643595691450813,0.011523713768135718,-2.4028097928468544,1.8511546259809089,0.9344310568847206,0.017489359851571285
4.0,5.75,1.986,0.379,-0.323,352.5,0.0891212783795812,0.08453324618303544,0.015614048008224513,-2.4028097928468544,1.8511546259809089,0.9344310568847206,0.017489359851571285
5.0,5.75,1.999,0.381,-0.371,7.5,0.08480673913902674,0.05675606710127777,0.017009687855538403,-2.3598864206889343,1.7548311184478786,0.8271306003165054,0.0157652556652859
5.0,5.75,1.999,0.381,-0.371,22.5,0.07413276452528753,0.0706746253101492,0.01167368663517621,-2.3598864206889343,1.7548311184478786,0.8271306003165054,0.0157652556652859
5.0,5.75,1.999,0.381,-0.371,37.5,0.05960443243128527,0.05288602857735518,0.009039607943428531,-2.3598864206889343,1.7548311184478786,0.8271306003165054,0.0157652556652859
5.0,5.75,1.999,0.381,-0.371,52.5,0.04683450055607748,0.0459779768500628,0.0064847047310398875,-2.3598864206889343,1.7548311184478786,0.8271306003165054,0.0157652556652859
5.0,5.75,1.999,0.381,-0.371,67.5,0.03749103557527772,0.033467506071533204,0.00405990430805585,-2.3598864206889343,1.7548311184478786,0.8271306003165054,0.0157652556652859
5.0,5.75,1.999,0.381,-0.371,82.5,0.031169090275286714,0.029980047542607132,0.004062579071464156,-2.3598864206889343,1.7548311184478786,0.8271306003165054,0.0157652556652859
5.0,5.75,1.999,0.381,-0.371,97.5,0.027016410781420336,0.024212335920353132,0.0031087783964763196,-2.3598864206889343,1.7548311184478786,0.8271306003165054,0.0157652556652859
5.0,5.75,1.999,0.381,-0.371,112.5,0.02431471063127339,0.025748356077041287,0.0029289501305269066,-2.3598864206889343,1.7548311184478786,0.8271306003165054,0.0157652556652859
5.0,5.75,1.999,0.381,-0.371,127.5,0.022570014152422116,0.025275652057915047,0.003037472532507122,-2.3598864206889343,1.7548311184478786,0.8271306003165054,0.0157652556652859
5.0,5.75,1.999,0.381,-0.371,142.5,0.021468753289774874,0.01881761601602678,0.003840330718895575,-2.3598864206889343,1.7548311184478786,0.8271306003165054,0.0157652556652859
5.0,5.75,1.999,0.381,-0.371,157.5,0.02082142484834049,0.021461571992116728,0.004997141851906891,-2.3598864206889343,1.7548311184478786,0.8271306003165054,0.0157652556652859
5.0,5.75,1.999,0.381,-0.371,172.5,0.020521604954659593,0.025550922254770906,0.004503055766785456,-2.3598864206889343,1.7548311184478786,0.8271306003165054,0.0157652556652859
5.0,5.75,1.999,0.381,-0.371,187.5,0.020521604954659593,0.02807869554045108,0.003844106916418573,-2.3598864206889343,1.7548311184478786,0.8271306003165054,0.0157652556652859
5.0,5.75,1.999,0.381,-0.371,202.5,0.02082142484834049,0.01438610560413206,0.0033391320519540846,-2.3598864206889343,1.7548311184478786,0.8271306003165054,0.0157652556652859
5.0,5.75,1.999,0.381,-0.371,217.5,0.021468753289774874,0.020448972172689487,0.002527730965196251,-2.3598864206889343,1.7548311184478786,0.8271306003165054,0.0157652556652859
5.0,5.75,1.999,0.381,-0.371,232.5,0.022570014152422116,0.01885689490776442,0.0029643455922685924,-2.3598864206889343,1.7548311184478786,0.8271306003165054,0.0157652556652859
5.0,5.75,1.999,0.381,-0.371,247.5,0.024314710631273394,0.026859624295342,0.002951805838172949,-2.3598864206889343,1.7548311184478786,0.8271306003165054,0.0157652556652859
5.0,5.75,1.999,0.381,-0.371,262.5,0.027016410781420336,0.026137465814509535,0.0038844193545844565,-2.3598864206889343,1.7548311184478786,0.8271306003165054,0.0157652556652859
5.0,5.75,1.999,0.381,-0.371,277.5,0.031169090275286714,0.04020807682148687,0.004139878423372661,-2.3598864206889343,1.7548311184478786,0.8271306003165054,0.0157652556652859
5.0,5.75,1.999,0.381,-0.371,292.5,0.037491035575277734,0.03701992795508154,0.005301607084699682,-2.3598864206889343,1.7548311184478786,0.8271306003165054,0.0157652556652859
5.0,5.75,1.999,0.381,-0.371,307.5,0.04683450055607748,0.04381362207976181,0.00681722973076952,-2.3598864206889343,1.7548311184478786,0.8271306003165054,0.0157652556652859
5.0,5.75,1.999,0.381,-0.371,322.5,0.05960443243128527,0.041687328960944764,0.01029547354393875,-2.3598864206889343,1.7548311184478786,0.8271306003165054,0.0157652556652859
5.0,5.75,1.999,0.381,-0.371,337.5,0.07413276452528753,0.06131561841559719,0.01624619584767621,-2.3598864206889343,1.7548311184478786,0.8271306003165054,0.0157652556652859
5.0,5.75,1.999,0.381,-0.371,352.5,0.08480673913902674,0.07768007044857773,0.019840536959240995,-2.3598864206889343,1.7548311184478786,0.8271306003165054,0.0157652556652859
6.0,5.75,2.218,0.345,-0.176,7.5,0.12978649119949806,0.13651118403030693,0.0053757566649141365,-2.559266315011665,2.2010813992929656,1.3824372521174015,0.016757097915226456
6.0,5.75,2.218,0.345,-0.176,22.5,0.12410608294000328,0.12329759686713178,0.004936939776075554,-2.559266315011665,2.2010813992929656,1.3824372521174015,0.016757097915226456
6.0,5.75,2.218,0.345,-0.176,37.5,0.11416534683419322,0.11763383862020525,0.0046442461603262855,-2.559266315011665,2.2010813992929656,1.3824372521174015,0.016757097915226456
6.0,5.75,2.218,0.345,-0.176,52.5,0.10206254010224822,0.10044731573514881,0.004297853543873784,-2.559266315011665,2.2010813992929656,1.3824372521174015,0.016757097915226456
6.0,5.75,2.218,0.345,-0.176,67.5,0.08971842440261152,0.09141800656585404,0.004065141972999095,-2.559266315011665,2.2010813992929656,1.3824372521174015,0.016757097915226456
6.0,5.75,2.218,0.345,-0.176,82.5,0.07842495240571447,0.08192187910613122,0.0036099005476422984,-2.559266315011665,2.2010813992929656,1.3824372521174015,0.016757097915226456
6.0,5.75,2.218,0.345,-0.176,97.5,0.06882751978074957,0.0621580294407618,0.0036547413737914756,-2.559266315011665,2.2010813992929656,1.3824372521174015,0.016757097915226456
6.0,5.75,2.218,0.345,-0.176,112.5,0.06111512284978675,0.0638713802799636,0.0030282543725415616,-2.559266315011665,2.2010813992929656,1.3824372521174015,0.016757097915226456
6.0,5.75,2.218,0.345,-0.176,127.5,0.05522912732804418,0.05592620382894211,0.0029757453044576792,-2.559266315011665,2.2010813992929656,1.3824372521174015,0.016757097915226456
6.0,5.75,2.218,0.345,-0.176,142.5,0.05101461620868175,0.05640742066812405,0.0027354036924660454,-2.559266315011665,2.2010813992929656,1.3824372521174015,0.016757097915226456
6.0,5.75,2.218,0.345,-0.176,157.5,0.04830946991150042,0.04748189334918169,0.0028207898984904676,-2.559266315011665,2.2010813992929656,1.3824372521174015,0.016757097915226456
6.0,5.75,2.218,0.345,-0.176,172.5,0.04698970973521806,0.04623206048575584,0.002710836274689756,-2.559266315011665,2.2010813992929656,1.3824372521174015,0.016757097915226456
6.0,5.75,2.218,0.345,-0.176,187.5,0.04698970973521806,0.04942350811672069,0.002782730662278489,-2.559266315011665,2.2010813992929656,1.3824372521174015,0.016757097915226456
6.0,5.75,2.218,0.345,-0.176,202.5,0.04830946991150042,0.0496093230934346,0.0026797263420048393,-2.559266315011665,2.2010813992929656,1.3824372521174015,0.016757097915226456
6.0,5.75,2.218,0.345,-0.176,217.5,0.05101461620868175,0.05075188460272213,0.002837943020387299,-2.559266315011665,2.2010813992929656,1.3824372521174015,0.016757097915226456
6.0,5.75,2.218,0.345,-0.176,232.5,0.05522912732804418,0.05970907246218564,0.002842090981643659,-2.559266315011665,2.2010813992929656,1.3824372521174015,0.016757097915226456
6.0,5.75,2.218,0.345,-0.176,247.5,0.061115122849786756,0.05871494824038108,0.0031645410812699117,-2.559266315011665,2.2010813992929656,1.3824372521174015,0.016757097915226456
6.0,5.75,2.218,0.345,-0.176,262.5,0.06882751978074961,0.0693817783058283,0.003319551268031015,-2.559266315011665,2.2010813992929656,1.3824372521174015,0.016757097915226456
6.0,5.75,2.218,0.345,-0.176,277.5,0.07842495240571447,0.07345753705668912,0.003630290971414231,-2.559266315011665,2.2010813992929656,1.3824372521174015,0.016757097915226456
6.0,5.75,2.218,0.345,-0.176,292.5,0.08971842440261152,0.09306736488858694,0.003898265686283901,-2.559266315011665,2.2010813992929656,1.3824372521174015,0.016757097915226456
6.0,5.75,2.218,0.345,-0.176,307.5,0.10206254010224822,0.0951176283818183,0.00434378170395332,-2.559266315011665,2.2010813992929656,1.3824372521174015,0.016757097915226456
6.0,5.75,2.218,0.345,-0.176,322.5,0.11416534683419322,0.11306665402763222,0.00464196315497767,-2.559266315011665,2.2010813992929656,1.3824372521174015,0.016757097915226456
6.0,5.75,2.218,0.345,-0.176,337.5,0.1241060829400033,0.12376922918941353,0.005254651455958691,-2.559266315011665,2.2010813992929656,1.3824372521174015,0.016757097915226456
6.0,5.75,2.218,0.345,-0.176,352.5,0.12978649119949806,0.13261614330213548,0.005685946021173952,-2.559266315011665,2.2010813992929656,1.3824372521174015,0.016757097915226456
7.0,5.75,2.318,0.363,-0.232,7.5,0.10310602676512186,0.10258002080557783,0.005392445065841835,-2.5006698370225706,2.056924614150798,1.1826392784117266,0.012833531500007394
7.0,5.75,2.318,0.363,-0.232,22.5,0.09641304665673314,0.09480333289064893,0.004736772999025562,-2.5006698370225706,2.056924614150798,1.1826392784117266,0.012833531500007394
7.0,5.75,2.318,0.363,-0.232,37.5,0.08538807628657395,0.08292845408819051,0.0043599150532474245,-2.5006698370225706,2.056924614150798,1.1826392784117266,0.012833531500007394
7.0,5.75,2.318,0.363,-0.232,52.5,0.07305392777552996,0.0734228611180395,0.0039186127240235635,-2.5006698370225706,2.056924614150798,1.1826392784117266,0.012833531500007394
7.0,5.75,2.318,0.363,-0.232,67.5,0.06159413892654951,0.055442101228889484,0.0034578948446451784,-2.5006698370225706,2.056924614150798,1.1826392784117266,0.012833531500007394
7.0,5.75,2.318,0.363,-0.232,82.5,0.052016410369117284,0.05255938827642275,0.002965975777162907,-2.5006698370225706,2.056924614150798,1.1826392784117266,0.012833531500007394
7.0,5.75,2.318,0.363,-0.232,97.5,0.0445105596690335,0.05102384440744419,0.00250772499956495,-2.5006698370225706,2.056924614150798,1.1826392784117266,0.012833531500007394
7.0,5.75,2.318,0.363,-0.232,112.5,0.03887929289652501,0.03902629745237183,0.0023790239971324904,-2.5006698370225706,2.056924614150798,1.1826392784117266,0.012833531500007394
7.0,5.75,2.318,0.363,-0.232,127.5,0.034813646851178034,0.035857042063188314,0.0020407759225555743,-2.5006698370225706,2.056924614150798,1.1826392784117266,0.012833531500007394
7.0,5.75,2.318,0.363,-0.232,142.5,0.032023593270737796,0.030577994793128643,0.0021651152388391837,-2.5006698370225706,2.056924614150798,1.1826392784117266,0.012833531500007394
7.0,5.75,2.318,0.363,-0.232,157.5,0.03028547009053672,0.029803270167311872,0.0018819390848179717,-2.5006698370225706,2.056924614150798,1.1826392784117266,0.012833531500007394
7.0,5.75,2.318,0.363,-0.232,172.5,0.02945239095740678,0.029463577461455913,0.002062845535264222,-2.5006698370225706,2.056924614150798,1.1826392784117266,0.012833531500007394
