set,index,k,QQ,xB,t,phi,F,errF,varF,ReH,ReE,ReHt,ReEt,ImH,ImE,ImHt,ImEt,dvcs,F_true
2,6,5.75,1.933,0.368,-0.232,97.5,0.0429759,0.0027006,0.06284,-2.48378,2.05692,1.17942,98.0629,2.88286,0,1.41042,0,0.0227145,0.0439703
2,7,5.75,1.933,0.368,-0.232,112.5,0.0403152,0.00256647,0.06366,-2.48378,2.05692,1.17942,98.0629,2.88286,0,1.41042,0,0.0227145,0.0402729
2,8,5.75,1.933,0.368,-0.232,127.5,0.0360796,0.00229213,0.06353,-2.48378,2.05692,1.17942,98.0629,2.88286,0,1.41042,0,0.0227145,0.0375648
2,9,5.75,1.933,0.368,-0.232,142.5,0.0366866,0.0022078,0.06018,-2.48378,2.05692,1.17942,98.0629,2.88286,0,1.41042,0,0.0227145,0.0356828
2,10,5.75,1.933,0.368,-0.232,157.5,0.0364531,0.00214927,0.05896,-2.48378,2.05692,1.17942,98.0629,2.88286,0,1.41042,0,0.0227145,0.0344989
2,11,5.75,1.933,0.368,-0.232,172.5,0.032309,0.00202061,0.06254,-2.48378,2.05692,1.17942,98.0629,2.88286,0,1.41042,0,0.0227145,0.0339278
2,12,5.75,1.933,0.368,-0.232,187.5,0.0316282,0.00192774,0.06095,-2.48378,2.05692,1.17942,98.0629,2.88286,0,1.41042,0,0.0227145,0.0339278
2,13,5.75,1.933,0.368,-0.232,202.5,0.0343028,0.00196006,0.05714,-2.48378,2.05692,1.17942,98.0629,2.88286,0,1.41042,0,0.0227145,0.0344989
2,14,5.75,1.933,0.368,-0.232,217.5,0.032196,0.00197233,0.06126,-2.48378,2.05692,1.17942,98.0629,2.88286,0,1.41042,0,0.0227145,0.0356828
2,15,5.75,1.933,0.368,-0.232,232.5,0.0412522,0.00264386,0.06409,-2.48378,2.05692,1.17942,98.0629,2.88286,0,1.41042,0,0.0227145,0.0375648
2,16,5.75,1.933,0.368,-0.232,247.5,0.0377877,0.00240557,0.06366,-2.48378,2.05692,1.17942,98.0629,2.88286,0,1.41042,0,0.0227145,0.0402729
2,17,5.75,1.933,0.368,-0.232,262.5,0.0413854,0.00258162,0.06238,-2.48378,2.05692,1.17942,98.0629,2.88286,0,1.41042,0,0.0227145,0.0439703
2,18,5.75,1.933,0.368,-0.232,277.5,0.050904,0.00327516,0.06434,-2.48378,2.05692,1.17942,98.0629,2.88286,0,1.41042,0,0.0227145,0.0488236
2,19,5.75,1.933,0.368,-0.232,292.5,0.0580061,0.00342758,0.05909,-2.48378,2.05692,1.17942,98.0629,2.88286,0,1.41042,0,0.0227145,0.0549207
2,20,5.75,1.933,0.368,-0.232,307.5,0.0652462,0.00369685,0.05666,-2.48378,2.05692,1.17942,98.0629,2.88286,0,1.41042,0,0.0227145,0.0621047
2,21,5.75,1.933,0.368,-0.232,322.5,0.0764457,0.00473505,0.06194,-2.48378,2.05692,1.17942,98.0629,2.88286,0,1.41042,0,0.0227145,0.0697255
2,22,5.75,1.933,0.368,-0.232,337.5,0.0794835,0.00494467,0.06221,-2.48378,2.05692,1.17942,98.0629,2.88286,0,1.41042,0,0.0227145,0.0764529
2,23,5.75,1.933,0.368,-0.232,352.5,0.0790978,0.0051904,0.06562,-2.48378,2.05692,1.17942,98.0629,2.88286,0,1.41042,0,0.0227145,0.0805012
3,0,5.75,1.964,0.375,-0.278,7.5,0.0650832,0.00581584,0.08936,-2.44312,1.94885,1.04808,80.5516,2.63187,0,1.33738,0,0.0196876,0.0718791
3,1,5.75,1.964,0.375,-0.278,22.5,0.0616327,0.00557468,0.09045,-2.44312,1.94885,1.04808,80.5516,2.63187,0,1.33738,0,0.0196876,0.0671142
3,2,5.75,1.964,0.375,-0.278,37.5,0.0505881,0.00398432,0.07876,-2.44312,1.94885,1.04808,80.5516,2.63187,0,1.33738,0,0.0196876,0.0596303
3,3,5.75,1.964,0.375,-0.278,52.5,0.050622,0.00385689,0.07619,-2.44312,1.94885,1.04808,80.5516,2.63187,0,1.33738,0,0.0196876,0.051762
3,4,5.75,1.964,0.375,-0.278,67.5,0.0471315,0.00395904,0.084,-2.44312,1.94885,1.04808,80.5516,2.63187,0,1.33738,0,0.0196876,0.0448934
3,5,5.75,1.964,0.375,-0.278,82.5,0.0404187,0.00335879,0.0831,-2.44312,1.94885,1.04808,80.5516,2.63187,0,1.33738,0,0.0196876,0.0394543
3,6,5.75,1.964,0.375,-0.278,97.5,0.0300196,0.00225147,0.075,-2.44312,1.94885,1.04808,80.5516,2.63187,0,1.33738,0,0.0196876,0.0353678
3,7,5.75,1.964,0.375,-0.278,112.5,0.0282131,0.00215436,0.07636,-2.44312,1.94885,1.04808,80.5516,2.63187,0,1.33738,0,0.0196876,0.0323938
3,8,5.75,1.964,0.375,-0.278,127.5,0.0327899,0.00241727,0.07372,-2.44312,1.94885,1.04808,80.5516,2.63187,0,1.33738,0,0.0196876,0.03029
3,9,5.75,1.964,0.375,-0.278,142.5,0.0309781,0.00225707,0.07286,-2.44312,1.94885,1.04808,80.5516,2.63187,0,1.33738,0,0.0196876,0.0288644
3,10,5.75,1.964,0.375,-0.278,157.5,0.028824,0.00223588,0.07757,-2.44312,1.94885,1.04808,80.5516,2.63187,0,1.33738,0,0.0196876,0.0279826
3,11,5.75,1.964,0.375,-0.278,172.5,0.0274468,0.00208925,0.07612,-2.44312,1.94885,1.04808,80.5516,2.63187,0,1.33738,0,0.0196876,0.0275614
3,12,5.75,1.964,0.375,-0.278,187.5,0.0262358,0.00201202,0.07669,-2.44312,1.94885,1.04808,80.5516,2.63187,0,1.33738,0,0.0196876,0.0275614
3,13,5.75,1.964,0.375,-0.278,202.5,0.027929,0.00217092,0.07773,-2.44312,1.94885,1.04808,80.5516,2.63187,0,1.33738,0,0.0196876,0.0279826
3,14,5.75,1.964,0.375,-0.278,217.5,0.0288885,0.00219726,0.07606,-2.44312,1.94885,1.04808,80.5516,2.63187,0,1.33738,0,0.0196876,0.0288644
3,15,5.75,1.964,0.375,-0.278,232.5,0.0330335,0.00265193,0.08028,-2.44312,1.94885,1.04808,80.5516,2.63187,0,1.33738,0,0.0196876,0.03029
3,16,5.75,1.964,0.375,-0.278,247.5,0.0301522,0.00213417,0.07078,-2.44312,1.94885,1.04808,80.5516,2.63187,0,1.33738,0,0.0196876,0.0323938
3,17,5.75,1.964,0.375,-0.278,262.5,0.0370182,0.00270307,0.07302,-2.44312,1.94885,1.04808,80.5516,2.63187,0,1.33738,0,0.0196876,0.0353678
3,18,5.75,1.964,0.375,-0.278,277.5,0.0432979,0.00310186,0.07164,-2.44312,1.94885,1.04808,80.5516,2.63187,0,1.33738,0,0.0196876,0.0394543
3,19,5.75,1.964,0.375,-0.278,292.5,0.0518434,0.00394321,0.07606,-2.44312,1.94885,1.04808,80.5516,2.63187,0,1.33738,0,0.0196876,0.0448934
3,20,5.75,1.964,0.375,-0.278,307.5,0.0524636,0.00417033,0.07949,-2.44312,1.94885,1.04808,80.5516,2.63187,0,1.33738,0,0.0196876,0.051762
3,21,5.75,1.964,0.375,-0.278,322.5,0.0573016,0.00501389,0.0875,-2.44312,1.94885,1.04808,80.5516,2.63187,0,1.33738,0,0.0196876,0.0596303
3,22,5.75,1.964,0.375,-0.278,337.5,0.06495,0.00581627,0.08955,-2.44312,1.94885,1.04808,80.5516,2.63187,0,1.33738,0,0.0196876,0.0671142
3,23,5.75,1.964,0.375,-0.278,352.5,0.0689143,0.00722084,0.10478,-2.44312,1.94885,1.04808,80.5516,2.63187,0,1.33738,0,0.0196876,0.0718791
4,0,5.75,1.986,0.379,-0.323,7.5,0.0691994,0.00965886,0.13958,-2.40288,1.85115,0.934471,68.6821,2.42864,0,1.27743,0,0.0174894,0.066247
4,1,5.75,1.986,0.379,-0.323,22.5,0.0554744,0.00654265,0.11794,-2.40288,1.85115,0.934471,68.6821,2.42864,0,1.27743,0,0.0174894,0.0606972
4,2,5.75,1.986,0.379,-0.323,37.5,0.0381581,0.00469383,0.12301,-2.40288,1.85115,0.934471,68.6821,2.42864,0,1.27743,0,0.0174894,0.0524859
4,3,5.75,1.986,0.379,-0.323,52.5,0.0498384,0.00534716,0.10729,-2.40288,1.85115,0.934471,68.6821,2.42864,0,1.27743,0,0.0174894,0.0444733
4,4,5.75,1.986,0.379,-0.323,67.5,0.0369224,0.00389088,0.10538,-2.40288,1.85115,0.934471,68.6821,2.42864,0,1.27743,0,0.0174894,0.0379634
4,5,5.75,1.986,0.379,-0.323,82.5,0.0299091,0.00341831,0.11429,-2.40288,1.85115,0.934471,68.6821,2.42864,0,1.27743,0,0.0174894,0.033112
4,6,5.75,1.986,0.379,-0.323,97.5,0.0285979,0.00300592,0.10511,-2.40288,1.85115,0.934471,68.6821,2.42864,0,1.27743,0,0.0174894,0.0296376
4,7,5.75,1.986,0.379,-0.323,112.5,0.0267153,0.00280511,0.105,-2.40288,1.85115,0.934471,68.6821,2.42864,0,1.27743,0,0.0174894,0.0271991
4,8,5.75,1.986,0.379,-0.323,127.5,0.0258366,0.00243174,0.09412,-2.40288,1.85115,0.934471,68.6821,2.42864,0,1.27743,0,0.0174894,0.0255192
4,9,5.75,1.986,0.379,-0.323,142.5,0.0276768,0.00281722,0.10179,-2.40288,1.85115,0.934471,68.6821,2.42864,0,1.27743,0,0.0174894,0.0244019
4,10,5.75,1.986,0.379,-0.323,157.5,0.0286765,0.00339272,0.11831,-2.40288,1.85115,0.934471,68.6821,2.42864,0,1.27743,0,0.0174894,0.0237192
4,11,5.75,1.986,0.379,-0.323,172.5,0.0267604,0.00369107,0.13793,-2.40288,1.85115,0.934471,68.6821,2.42864,0,1.27743,0,0.0174894,0.0233953
4,12,5.75,1.986,0.379,-0.323,187.5,0.0197522,0.00232602,0.11776,-2.40288,1.85115,0.934471,68.6821,2.42864,0,1.27743,0,0.0174894,0.0233953
4,13,5.75,1.986,0.379,-0.323,202.5,0.0240094,0.00268905,0.112,-2.40288,1.85115,0.934471,68.6821,2.42864,0,1.27743,0,0.0174894,0.0237192
4,14,5.75,1.986,0.379,-0.323,217.5,0.0218052,0.00218924,0.1004,-2.40288,1.85115,0.934471,68.6821,2.42864,0,1.27743,0,0.0174894,0.0244019
4,15,5.75,1.986,0.379,-0.323,232.5,0.0220775,0.00213975,0.09692,-2.40288,1.85115,0.934471,68.6821,2.42864,0,1.27743,0,0.0174894,0.0255192
4,16,5.75,1.986,0.379,-0.323,247.5,0.0258433,0.00244038,0.09443,-2.40288,1.85115,0.934471,68.6821,2.42864,0,1.27743,0,0.0174894,0.0271991
4,17,5.75,1.986,0.379,-0.323,262.5,0.0288256,0.00306647,0.10638,-2.40288,1.85115,0.934471,68.6821,2.42864,0,1.27743,0,0.0174894,0.0296376
4,18,5.75,1.986,0.379,-0.323,277.5,0.0319118,0.00317171,0.09939,-2.40288,1.85115,0.934471,68.6821,2.42864,0,1.27743,0,0.0174894,0.033112
4,19,5.75,1.986,0.379,-0.323,292.5,0.039669,0.00405417,0.1022,-2.40288,1.85115,0.934471,68.6821,2.42864,0,1.27743,0,0.0174894,0.0379634
4,20,5.75,1.986,0.379,-0.323,307.5,0.0439407,0.0042271,0.0962,-2.40288,1.85115,0.934471,68.6821,2.42864,0,1.27743,0,0.0174894,0.0444733
4,21,5.75,1.986,0.379,-0.323,322.5,0.0467433,0.0057312,0.12261,-2.40288,1.85115,0.934471,68.6821,2.42864,0,1.27743,0,0.0174894,0.0524859
4,22,5.75,1.986,0.379,-0.323,337.5,0.0688631,0.00989769,0.14373,-2.40288,1.85115,0.934471,68.6821,2.42864,0,1.27743,0,0.0174894,0.0606972
4,23,5.75,1.986,0.379,-0.323,352.5,0.0542132,0.00949816,0.1752,-2.40288,1.85115,0.934471,68.6821,2.42864,0,1.27743,0,0.0174894,0.066247
5,0,5.75,1.999,0.381,-0.371,7.5,0.0581037,0.0116539,0.20057,-2.35994,1.75483,0.82686,59.5013,2.24346,0,1.22182,0,0.0157662,0.062743
5,1,5.75,1.999,0.381,-0.371,22.5,0.0410916,0.00647069,0.15747,-2.35994,1.75483,0.82686,59.5013,2.24346,0,1.22182,0,0.0157662,0.0561301
5,2,5.75,1.999,0.381,-0.371,37.5,0.052168,0.00791181,0.15166,-2.35994,1.75483,0.82686,59.5013,2.24346,0,1.22182,0,0.0157662,0.0470173
5,3,5.75,1.999,0.381,-0.371,52.5,0.0418366,0.00579269,0.13846,-2.35994,1.75483,0.82686,59.5013,2.24346,0,1.22182,0,0.0157662,0.0388349
5,4,5.75,1.999,0.381,-0.371,67.5,0.0384336,0.00416197,0.10829,-2.35994,1.75483,0.82686,59.5013,2.24346,0,1.22182,0,0.0157662,0.0326656
5,5,5.75,1.999,0.381,-0.371,82.5,0.0245378,0.00319826,0.13034,-2.35994,1.75483,0.82686,59.5013,2.24346,0,1.22182,0,0.0157662,0.028333
5,6,5.75,1.999,0.381,-0.371,97.5,0.022365,0.00257354,0.11507,-2.35994,1.75483,0.82686,59.5013,2.24346,0,1.22182,0,0.0157662,0.025365
5,7,5.75,1.999,0.381,-0.371,112.5,0.02388,0.00287659,0.12046,-2.35994,1.75483,0.82686,59.5013,2.24346,0,1.22182,0,0.0157662,0.0233481
5,8,5.75,1.999,0.381,-0.371,127.5,0.0239452,0.00322255,0.13458,-2.35994,1.75483,0.82686,59.5013,2.24346,0,1.22182,0,0.0157662,0.0219901
5,9,5.75,1.999,0.381,-0.371,142.5,0.0208906,0.00373691,0.17888,-2.35994,1.75483,0.82686,59.5013,2.24346,0,1.22182,0,0.0157662,0.0211008
5,10,5.75,1.999,0.381,-0.371,157.5,0.0254018,0.00609644,0.24,-2.35994,1.75483,0.82686,59.5013,2.24346,0,1.22182,0,0.0157662,0.0205629
5,11,5.75,1.999,0.381,-0.371,172.5,0.0119119,0.00261383,0.21943,-2.35994,1.75483,0.82686,59.5013,2.24346,0,1.22182,0,0.0157662,0.0203091
5,12,5.75,1.999,0.381,-0.371,187.5,0.0219465,0.00411103,0.18732,-2.35994,1.75483,0.82686,59.5013,2.24346,0,1.22182,0,0.0157662,0.0203091
5,13,5.75,1.999,0.381,-0.371,202.5,0.0137793,0.00220978,0.16037,-2.35994,1.75483,0.82686,59.5013,2.24346,0,1.22182,0,0.0157662,0.0205629
5,14,5.75,1.999,0.381,-0.371,217.5,0.0240663,0.00283357,0.11774,-2.35994,1.75483,0.82686,59.5013,2.24346,0,1.22182,0,0.0157662,0.0211008
5,15,5.75,1.999,0.381,-0.371,232.5,0.0221324,0.00290687,0.13134,-2.35994,1.75483,0.82686,59.5013,2.24346,0,1.22182,0,0.0157662,0.0219901
5,16,5.75,1.999,0.381,-0.371,247.5,0.0217589,0.00264153,0.1214,-2.35994,1.75483,0.82686,59.5013,2.24346,0,1.22182,0,0.0157662,0.0233481
5,17,5.75,1.999,0.381,-0.371,262.5,0.0293014,0.00421295,0.14378,-2.35994,1.75483,0.82686,59.5013,2.24346,0,1.22182,0,0.0157662,0.025365
5,18,5.75,1.999,0.381,-0.371,277.5,0.0329539,0.00437694,0.13282,-2.35994,1.75483,0.82686,59.5013,2.24346,0,1.22182,0,0.0157662,0.028333
5,19,5.75,1.999,0.381,-0.371,292.5,0.0320787,0.00453625,0.14141,-2.35994,1.75483,0.82686,59.5013,2.24346,0,1.22182,0,0.0157662,0.0326656
5,20,5.75,1.999,0.381,-0.371,307.5,0.0333905,0.00486032,0.14556,-2.35994,1.75483,0.82686,59.5013,2.24346,0,1.22182,0,0.0157662,0.0388349
5,21,5.75,1.999,0.381,-0.371,322.5,0.0438023,0.00756597,0.17273,-2.35994,1.75483,0.82686,59.5013,2.24346,0,1.22182,0,0.0157662,0.0470173
5,22,5.75,1.999,0.381,-0.371,337.5,0.0497736,0.0109079,0.21915,-2.35994,1.75483,0.82686,59.5013,2.24346,0,1.22182,0,0.0157662,0.0561301
5,23,5.75,1.999,0.381,-0.371,352.5,0.053211,0.0124487,0.23395,-2.35994,1.75483,0.82686,59.5013,2.24346,0,1.22182,0,0.0157662,0.062743
6,0,5.75,2.218,0.345,-0.176,7.5,0.105072,0.00435209,0.04142,-2.55945,2.20108,1.3792,137.39,3.35395,0,1.55242,0,0.016768,0.106097
6,1,5.75,2.218,0.345,-0.176,22.5,0.100122,0.00398286,0.03978,-2.55945,2.20108,1.3792,137.39,3.35395,0,1.55242,0,0.016768,0.10192
6,2,5.75,2.218,0.345,-0.176,37.5,0.0893008,0.00363276,0.04068,-2.55945,2.20108,1.3792,137.39,3.35395,0,1.55242,0,0.016768,0.0945894
6,3,5.75,2.218,0.345,-0.176,52.5,0.0839857,0.00353664,0.04211,-2.55945,2.20108,1.3792,137.39,3.35395,0,1.55242,0,0.016768,0.0856224
6,4,5.75,2.218,0.345,-0.176,67.5,0.0721391,0.00326862,0.04531,-2.55945,2.20108,1.3792,137.39,3.35395,0,1.55242,0,0.016768,0.0764189
6,5,5.75,2.218,0.345,-0.176,82.5,0.0653323,0.00300725,0.04603,-2.55945,2.20108,1.3792,137.39,3.35395,0,1.55242,0,0.016768,0.0679342
6,6,5.75,2.218,0.345,-0.176,97.5,0.0655006,0.00347808,0.0531,-2.55945,2.20108,1.3792,137.39,3.35395,0,1.55242,0,0.016768,0.0606619
6,7,5.75,2.218,0.345,-0.176,112.5,0.0612539,0.00303513,0.04955,-2.55945,2.20108,1.3792,137.39,3.35395,0,1.55242,0,0.016768,0.0547662
6,8,5.75,2.218,0.345,-0.176,127.5,0.0492763,0.00265501,0.05388,-2.55945,2.20108,1.3792,137.39,3.35395,0,1.55242,0,0.016768,0.0502282
6,9,5.75,2.218,0.345,-0.176,142.5,0.0439151,0.00235473,0.05362,-2.55945,2.20108,1.3792,137.39,3.35395,0,1.55242,0,0.016768,0.0469545
6,10,5.75,2.218,0.345,-0.176,157.5,0.0434647,0.0025379,0.05839,-2.55945,2.20108,1.3792,137.39,3.35395,0,1.55242,0,0.016768,0.0448408
6,11,5.75,2.218,0.345,-0.176,172.5,0.0459791,0.00265253,0.05769,-2.55945,2.20108,1.3792,137.39,3.35395,0,1.55242,0,0.016768,0.0438058
6,12,5.75,2.218,0.345,-0.176,187.5,0.0461742,0.00273444,0.05922,-2.55945,2.20108,1.3792,137.39,3.35395,0,1.55242,0,0.016768,0.0438058
6,13,5.75,2.218,0.345,-0.176,202.5,0.0402722,0.0022339,0.05547,-2.55945,2.20108,1.3792,137.39,3.35395,0,1.55242,0,0.016768,0.0448408
6,14,5.75,2.218,0.345,-0.176,217.5,0.0491993,0.00273695,0.05563,-2.55945,2.20108,1.3792,137.39,3.35395,0,1.55242,0,0.016768,0.0469545
6,15,5.75,2.218,0.345,-0.176,232.5,0.0528074,0.00271747,0.05146,-2.55945,2.20108,1.3792,137.39,3.35395,0,1.55242,0,0.016768,0.0502282
6,16,5.75,2.218,0.345,-0.176,247.5,0.0552622,0.00286148,0.05178,-2.55945,2.20108,1.3792,137.39,3.35395,0,1.55242,0,0.016768,0.0547662
6,17,5.75,2.218,0.345,-0.176,262.5,0.0638777,0.00308082,0.04823,-2.55945,2.20108,1.3792,137.39,3.35395,0,1.55242,0,0.016768,0.0606619
6,18,5.75,2.218,0.345,-0.176,277.5,0.065919,0.00305139,0.04629,-2.55945,2.20108,1.3792,137.39,3.35395,0,1.55242,0,0.016768,0.0679342
6,19,5.75,2.218,0.345,-0.176,292.5,0.0728628,0.00316589,0.04345,-2.55945,2.20108,1.3792,137.39,3.35395,0,1.55242,0,0.016768,0.0764189
6,20,5.75,2.218,0.345,-0.176,307.5,0.0876323,0.00372963,0.04256,-2.55945,2.20108,1.3792,137.39,3.35395,0,1.55242,0,0.016768,0.0856224
6,21,5.75,2.218,0.345,-0.176,322.5,0.0942583,0.00383254,0.04066,-2.55945,2.20108,1.3792,137.39,3.35395,0,1.55242,0,0.016768,0.0945894
6,22,5.75,2.218,0.345,-0.176,337.5,0.100025,0.00423506,0.04234,-2.55945,2.20108,1.3792,137.39,3.35395,0,1.55242,0,0.016768,0.10192
6,23,5.75,2.218,0.345,-0.176,352.5,0.106547,0.00466782,0.04381,-2.55945,2.20108,1.3792,137.39,3.35395,0,1.55242,0,0.016768,0.106097
7,0,5.75,2.318,0.363,-0.232,7.5,0.0856221,0.00447804,0.0523,-2.5008,2.05692,1.18094,99.7182,2.91369,0,1.42363,0,0.0128379,0.0827568
7,1,5.75,2.318,0.363,-0.232,22.5,0.0852842,0.00419001,0.04913,-2.5008,2.05692,1.18094,99.7182,2.91369,0,1.42363,0,0.0128379,0.0779525
7,2,5.75,2.318,0.363,-0.232,37.5,0.0692332,0.00353505,0.05106,-2.5008,2.05692,1.18094,99.7182,2.91369,0,1.42363,0,0.0128379,0.0700059
7,3,5.75,2.318,0.363,-0.232,52.5,0.0639972,0.00343281,0.05364,-2.5008,2.05692,1.18094,99.7182,2.91369,0,1.42363,0,0.0128379,0.0610544
7,4,5.75,2.318,0.363,-0.232,67.5,0.0533179,0.00299327,0.05614,-2.5008,2.05692,1.18094,99.7182,2.91369,0,1.42363,0,0.0128379,0.0526584
7,5,5.75,2.318,0.363,-0.232,82.5,0.0470192,0.00268104,0.05702,-2.5008,2.05692,1.18094,99.7182,2.91369,0,1.42363,0,0.0128379,0.0455588
7,6,5.75,2.318,0.363,-0.232,97.5,0.0398138,0.00224311,0.05634,-2.5008,2.05692,1.18094,99.7182,2.91369,0,1.42363,0,0.0128379,0.039921
7,7,5.75,2.318,0.363,-0.232,112.5,0.0362021,0.00221521,0.06119,-2.5008,2.05692,1.18094,99.7182,2.91369,0,1.42363,0,0.0128379,0.0356321
7,8,5.75,2.318,0.363,-0.232,127.5,0.031924,0.00187139,0.05862,-2.5008,2.05692,1.18094,99.7182,2.91369,0,1.42363,0,0.0128379,0.0324938
7,9,5.75,2.318,0.363,-0.232,142.5,0.029411,0.00198848,0.06761,-2.5008,2.05692,1.18094,99.7182,2.91369,0,1.42363,0,0.0128379,0.0303142
7,10,5.75,2.318,0.363,-0.232,157.5,0.0291586,0.00181191,0.06214,-2.5008,2.05692,1.18094,99.7182,2.91369,0,1.42363,0,0.0128379,0.0289437
7,11,5.75,2.318,0.363,-0.232,172.5,0.0265909,0.00186242,0.07004,-2.5008,2.05692,1.18094,99.7182,2.91369,0,1.42363,0,0.0128379,0.0282828
7,12,5.75,2.318,0.363,-0.232,187.5,0.0306702,0.00199295,0.06498,-2.5008,2.05692,1.18094,99.7182,2.91369,0,1.42363,0,0.0128379,0.0282828
